lat,lon,time,bssid,quality,rssi,essid
-31.981019,115.81729,20-09-15-15-54-31,A0:CF:5B:3C:35:9F,43/70,-67,Unifi
-31.981019,115.81729,20-09-15-15-54-31,A0:CF:5B:3C:35:90,38/70,-72,Unifi
-31.981019,115.81729,20-09-15-15-54-31,7C:21:0E:3E:6A:6F,29/70,-81,Unifi
-31.981019,115.81729,20-09-15-15-54-31,A0:CF:5B:3C:2E:B0,29/70,-81,Unifi
-31.981019,115.817343,20-09-15-15-54-42,A0:CF:5B:3C:35:9F,28/70,-82,Unifi
-31.981019,115.817343,20-09-15-15-54-42,A0:CF:5B:3C:35:90,37/70,-73,Unifi
-31.981019,115.817343,20-09-15-15-54-42,7C:21:0E:3E:6A:6F,35/70,-75,Unifi
-31.981019,115.817343,20-09-15-15-54-42,A0:CF:5B:3C:2E:B0,29/70,-81,Unifi
-31.981019,115.817343,20-09-15-15-54-42,10:BD:18:C7:27:7F,31/70,-79,Unifi
-31.981019,115.817343,20-09-15-15-54-42,10:BD:18:C6:D6:7F,33/70,-77,Unifi
-31.981019,115.817343,20-09-15-15-54-42,10:BD:18:C7:27:70,23/70,-87,Unifi
-31.981019,115.817343,20-09-15-15-54-42,A0:CF:5B:3E:26:F0,29/70,-81,Unifi
-31.981019,115.817396,20-09-15-15-54-52,A0:CF:5B:3C:35:9F,37/70,-73,Unifi
-31.981019,115.817396,20-09-15-15-54-52,A0:CF:5B:3C:35:90,41/70,-69,Unifi
-31.981019,115.817396,20-09-15-15-54-52,7C:21:0E:3E:6A:6F,39/70,-71,Unifi
-31.981019,115.817396,20-09-15-15-54-52,A0:CF:5B:3C:2E:B0,29/70,-81,Unifi
-31.981019,115.817396,20-09-15-15-54-52,10:BD:18:C7:27:7F,27/70,-83,Unifi
-31.981019,115.817396,20-09-15-15-54-52,10:BD:18:C6:D6:7F,33/70,-77,Unifi
-31.981019,115.817396,20-09-15-15-54-52,10:BD:18:C7:27:70,35/70,-75,Unifi
-31.981019,115.817396,20-09-15-15-54-52,A0:CF:5B:3E:26:F0,29/70,-81,Unifi
-31.981019,115.817396,20-09-15-15-54-52,A0:CF:5B:3F:8B:D0,27/70,-83,Unifi
-31.981019,115.817396,20-09-15-15-54-52,40:CE:24:E2:E2:0F,28/70,-82,Unifi
-31.981019,115.817396,20-09-15-15-54-52,10:BD:18:F1:01:2F,28/70,-82,Unifi
-31.981019,115.817449,20-09-15-15-55-13,A0:CF:5B:3C:35:9F,37/70,-73,Unifi
-31.981019,115.817449,20-09-15-15-55-13,A0:CF:5B:3C:35:90,41/70,-69,Unifi
-31.981019,115.817449,20-09-15-15-55-13,7C:21:0E:3E:6A:6F,26/70,-84,Unifi
-31.981019,115.817449,20-09-15-15-55-13,10:BD:18:C7:27:7F,29/70,-81,Unifi
-31.981019,115.817449,20-09-15-15-55-13,10:BD:18:C6:D6:7F,26/70,-84,Unifi
-31.981019,115.817449,20-09-15-15-55-13,10:BD:18:C7:27:70,35/70,-75,Unifi
-31.981019,115.817449,20-09-15-15-55-13,A0:CF:5B:3E:26:F0,40/70,-70,Unifi
-31.981019,115.817449,20-09-15-15-55-13,A0:CF:5B:3F:8B:D0,27/70,-83,Unifi
-31.981019,115.817449,20-09-15-15-55-13,40:CE:24:E2:E2:0F,28/70,-82,Unifi
-31.981019,115.817449,20-09-15-15-55-13,10:BD:18:F1:01:2F,28/70,-82,Unifi
-31.981019,115.817449,20-09-15-15-55-13,10:BD:18:5E:A6:E0,34/70,-76,Unifi
-31.981019,115.817449,20-09-15-15-55-13,A0:CF:5B:3E:18:70,32/70,-78,Unifi
-31.981019,115.817449,20-09-15-15-55-13,A0:CF:5B:3F:88:DF,25/70,-85,Unifi
-31.981019,115.817502,20-09-15-15-55-28,A0:CF:5B:3C:35:9F,49/70,-61,Unifi
