20-09-12-16-37-54,7C:21:0E:3E:6A:AF,41/70,-69,Unifi
20-09-12-16-37-54,7C:21:0E:3E:68:2F,48/70,-62,Unifi
20-09-12-16-37-54,A0:CF:5B:3D:59:AF,39/70,-71,Unifi
20-09-12-16-37-54,A0:93:51:8D:CE:AF,30/70,-80,Unifi
20-09-12-16-37-54,78:72:5D:BE:F5:2F,27/70,-83,Unifi
20-09-12-16-37-54,7C:21:0E:3E:6F:AF,43/70,-67,Unifi
20-09-12-16-37-54,58:AC:78:F4:B7:60,36/70,-74,Unifi
20-09-12-16-37-54,58:AC:78:DF:EA:20,37/70,-73,Unifi
20-09-12-16-37-54,78:72:5D:77:F2:EF,40/70,-70,Unifi
20-09-12-16-37-54,28:6F:7F:C5:32:4F,31/70,-79,Unifi
20-09-12-16-37-54,78:72:5D:6F:DE:6F,34/70,-76,Unifi
20-09-12-16-37-54,58:AC:78:A3:8E:2F,25/70,-85,Unifi
20-09-12-16-37-54,7C:21:0E:3E:68:20,34/70,-76,Unifi
20-09-12-16-37-54,58:AC:78:A3:8D:3F,32/70,-78,Unifi
