20-09-12-16-07-17,A0:CF:5B:3F:88:EF,28/70,-82,Unifi
20-09-12-16-07-17,70:DF:2F:9C:47:4F,23/70,-87,Unifi
20-09-12-16-07-17,10:BD:18:F0:C8:A0,37/70,-73,Unifi
20-09-12-16-07-17,A0:CF:5B:3D:7F:D0,31/70,-79,Unifi
20-09-12-16-07-17,A0:CF:5B:3D:83:70,28/70,-82,Unifi
20-09-12-16-07-17,10:BD:18:F0:C8:AF,36/70,-74,Unifi
20-09-12-16-07-17,A0:CF:5B:3D:82:70,33/70,-77,Unifi
20-09-12-16-07-17,A0:CF:5B:3E:17:50,27/70,-83,Unifi
20-09-12-16-07-17,A0:CF:5B:3F:88:E0,29/70,-81,Unifi
20-09-12-16-07-17,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-12-16-07-17,10:BD:18:F0:CA:BF,31/70,-79,Unifi
