lat,lon,time,bssid,quality,rssi,essid
-31.976884,115.818277,20-09-12-16-14-31,A0:CF:5B:3D:7F:D0,47/70,-63,Unifi
-31.976884,115.818277,20-09-12-16-14-31,A0:CF:5B:3D:83:70,32/70,-78,Unifi
-31.976884,115.818277,20-09-12-16-14-31,A0:CF:5B:3D:7F:DF,31/70,-79,Unifi
-31.976884,115.818277,20-09-12-16-14-31,5C:50:15:E7:EA:30,38/70,-72,Unifi
-31.976834,115.818277,20-09-12-16-14-53,A0:CF:5B:3D:7F:D0,53/70,-57,Unifi
-31.976834,115.818277,20-09-12-16-14-53,A0:CF:5B:3D:83:70,32/70,-78,Unifi
-31.976834,115.818277,20-09-12-16-14-53,A0:CF:5B:3D:7F:DF,42/70,-68,Unifi
-31.976834,115.818277,20-09-12-16-14-53,5C:50:15:E7:EA:30,38/70,-72,Unifi
-31.976784,115.818277,20-09-12-16-15-01,A0:CF:5B:3D:7F:D0,34/70,-76,Unifi
-31.976784,115.818277,20-09-12-16-15-01,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
-31.976784,115.818277,20-09-12-16-15-01,A0:CF:5B:3D:83:70,29/70,-81,Unifi
-31.976784,115.818277,20-09-12-16-15-01,10:BD:18:F0:C8:A0,31/70,-79,Unifi
-31.976734,115.818277,20-09-12-16-15-16,A0:CF:5B:3D:7F:D0,34/70,-76,Unifi
-31.976734,115.818277,20-09-12-16-15-16,A0:CF:5B:3D:7F:DF,27/70,-83,Unifi
-31.976734,115.818277,20-09-12-16-15-16,A0:CF:5B:3D:83:70,34/70,-76,Unifi
-31.976734,115.818277,20-09-12-16-15-16,10:BD:18:F0:C8:A0,31/70,-79,Unifi
-31.976684,115.818277,20-09-12-16-15-24,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
-31.976684,115.818277,20-09-12-16-15-24,A0:CF:5B:3D:7F:DF,25/70,-85,Unifi
-31.976684,115.818277,20-09-12-16-15-24,A0:CF:5B:3D:83:70,34/70,-76,Unifi
-31.976684,115.818277,20-09-12-16-15-24,10:BD:18:F0:C8:A0,31/70,-79,Unifi
-31.976684,115.818277,20-09-12-16-15-24,10:BD:18:F0:C8:AF,35/70,-75,Unifi
-31.976634,115.818277,20-09-12-16-15-35,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
-31.976634,115.818277,20-09-12-16-15-35,A0:CF:5B:3D:7F:DF,25/70,-85,Unifi
-31.976634,115.818277,20-09-12-16-15-35,A0:CF:5B:3D:83:70,31/70,-79,Unifi
-31.976634,115.818277,20-09-12-16-15-35,10:BD:18:F0:C8:A0,37/70,-73,Unifi
-31.976634,115.818277,20-09-12-16-15-35,10:BD:18:F0:C8:AF,42/70,-68,Unifi
-31.976634,115.818277,20-09-12-16-15-35,A0:CF:5B:3D:83:7F,35/70,-75,Unifi
-31.976584,115.818277,20-09-12-16-15-49,A0:CF:5B:3D:7F:D0,32/70,-78,Unifi
-31.976584,115.818277,20-09-12-16-15-49,A0:CF:5B:3D:7F:DF,25/70,-85,Unifi
-31.976584,115.818277,20-09-12-16-15-49,A0:CF:5B:3D:83:70,29/70,-81,Unifi
-31.976584,115.818277,20-09-12-16-15-49,10:BD:18:F0:C8:A0,33/70,-77,Unifi
-31.976584,115.818277,20-09-12-16-15-49,10:BD:18:F0:C8:AF,35/70,-75,Unifi
-31.976584,115.818277,20-09-12-16-15-49,A0:CF:5B:3D:83:7F,27/70,-83,Unifi
-31.976534,115.818277,20-09-12-16-15-57,A0:CF:5B:3D:83:70,29/70,-81,Unifi
-31.976534,115.818277,20-09-12-16-15-57,10:BD:18:F0:C8:A0,36/70,-74,Unifi
-31.976534,115.818277,20-09-12-16-15-57,10:BD:18:F0:C8:AF,38/70,-72,Unifi
-31.976534,115.818277,20-09-12-16-15-57,A0:CF:5B:3D:83:7F,27/70,-83,Unifi
-31.976484,115.818277,20-09-12-16-16-08,A0:CF:5B:3D:83:70,29/70,-81,Unifi
-31.976484,115.818277,20-09-12-16-16-08,10:BD:18:F0:C8:A0,34/70,-76,Unifi
-31.976484,115.818277,20-09-12-16-16-08,10:BD:18:F0:C8:AF,26/70,-84,Unifi
-31.976484,115.818277,20-09-12-16-16-08,A0:CF:5B:3D:83:7F,27/70,-83,Unifi
-31.976484,115.818277,20-09-12-16-16-08,A0:CF:5B:3F:69:30,31/70,-79,Unifi
-31.976484,115.818277,20-09-12-16-16-08,70:DF:2F:9C:47:4F,33/70,-77,Unifi
-31.976434,115.818277,20-09-12-16-16-19,10:BD:18:F0:C8:A0,27/70,-83,Unifi
-31.976434,115.818277,20-09-12-16-16-19,10:BD:18:F0:C8:AF,26/70,-84,Unifi
-31.976434,115.818277,20-09-12-16-16-19,A0:CF:5B:3F:69:30,31/70,-79,Unifi
-31.976434,115.818277,20-09-12-16-16-19,70:DF:2F:9C:47:4F,37/70,-73,Unifi
-31.976434,115.818277,20-09-12-16-16-19,A0:CF:5B:3F:88:E0,24/70,-86,Unifi
-31.976434,115.818277,20-09-12-16-16-19,A0:CF:5B:3F:88:EF,32/70,-78,Unifi
-31.976384,115.818277,20-09-12-16-16-27,10:BD:18:F0:C8:AF,26/70,-84,Unifi
-31.976384,115.818277,20-09-12-16-16-27,A0:CF:5B:3F:69:30,31/70,-79,Unifi
-31.976384,115.818277,20-09-12-16-16-27,70:DF:2F:9C:47:4F,39/70,-71,Unifi
-31.976384,115.818277,20-09-12-16-16-27,A0:CF:5B:3F:88:E0,30/70,-80,Unifi
-31.976384,115.818277,20-09-12-16-16-27,A0:CF:5B:3F:88:EF,36/70,-74,Unifi
-31.976384,115.818277,20-09-12-16-16-27,38:ED:18:D0:EF:60,29/70,-81,Unifi
-31.976384,115.818277,20-09-12-16-16-27,A0:CF:5B:3D:82:70,29/70,-81,Unifi
-31.976334,115.818277,20-09-12-16-16-39,70:DF:2F:9C:47:4F,27/70,-83,Unifi
-31.976334,115.818277,20-09-12-16-16-39,A0:CF:5B:3F:88:E0,30/70,-80,Unifi
-31.976334,115.818277,20-09-12-16-16-39,A0:CF:5B:3F:88:EF,32/70,-78,Unifi
-31.976334,115.818277,20-09-12-16-16-39,38:ED:18:D0:EF:60,29/70,-81,Unifi
-31.976334,115.818277,20-09-12-16-16-39,A0:CF:5B:3D:82:70,33/70,-77,Unifi
-31.976334,115.818277,20-09-12-16-16-39,A0:CF:5B:0E:33:D0,34/70,-76,Unifi
-31.976284,115.818277,20-09-12-16-16-50,70:DF:2F:9C:47:4F,27/70,-83,Unifi
-31.976284,115.818277,20-09-12-16-16-50,A0:CF:5B:3F:88:E0,30/70,-80,Unifi
-31.976284,115.818277,20-09-12-16-16-50,A0:CF:5B:3F:88:EF,32/70,-78,Unifi
-31.976284,115.818277,20-09-12-16-16-50,38:ED:18:D0:EF:60,29/70,-81,Unifi
-31.976284,115.818277,20-09-12-16-16-50,A0:CF:5B:3D:82:70,33/70,-77,Unifi
-31.976284,115.818277,20-09-12-16-16-50,A0:CF:5B:0E:33:D0,33/70,-77,Unifi
-31.976284,115.818277,20-09-12-16-16-50,A0:CF:5B:0E:33:DF,30/70,-80,Unifi
-31.976234,115.818277,20-09-12-16-17-01,70:DF:2F:9C:47:4F,27/70,-83,Unifi
-31.976234,115.818277,20-09-12-16-17-01,A0:CF:5B:3F:88:EF,32/70,-78,Unifi
-31.976234,115.818277,20-09-12-16-17-01,A0:CF:5B:3D:82:70,32/70,-78,Unifi
-31.976234,115.818277,20-09-12-16-17-01,A0:CF:5B:0E:33:D0,32/70,-78,Unifi
-31.976234,115.818277,20-09-12-16-17-01,A0:CF:5B:0E:33:DF,30/70,-80,Unifi
-31.976184,115.818277,20-09-12-16-17-13,A0:CF:5B:3D:82:70,34/70,-76,Unifi
-31.976184,115.818277,20-09-12-16-17-13,A0:CF:5B:0E:33:DF,30/70,-80,Unifi
-31.976184,115.818277,20-09-12-16-17-13,A0:CF:5B:3F:8A:C0,34/70,-76,Unifi
-31.976184,115.818277,20-09-12-16-17-13,A0:CF:5B:3D:82:7F,39/70,-71,Unifi
-31.976134,115.818277,20-09-12-16-17-23,A0:CF:5B:3D:82:70,46/70,-64,Unifi
-31.976134,115.818277,20-09-12-16-17-23,A0:CF:5B:3F:8A:C0,33/70,-77,Unifi
-31.976134,115.818277,20-09-12-16-17-23,A0:CF:5B:3D:82:7F,43/70,-67,Unifi
-31.976084,115.818277,20-09-12-16-17-33,A0:CF:5B:3D:82:70,35/70,-75,Unifi
-31.976084,115.818277,20-09-12-16-17-33,A0:CF:5B:3F:8A:C0,28/70,-82,Unifi
-31.976084,115.818277,20-09-12-16-17-33,A0:CF:5B:3D:82:7F,39/70,-71,Unifi
-31.976034,115.818277,20-09-12-16-17-46,A0:CF:5B:3D:82:70,33/70,-77,Unifi
-31.976034,115.818277,20-09-12-16-17-46,A0:CF:5B:3F:8A:C0,28/70,-82,Unifi
-31.976034,115.818277,20-09-12-16-17-46,A0:CF:5B:3D:82:7F,27/70,-83,Unifi
-31.976034,115.818277,20-09-12-16-17-46,64:AE:0C:C4:EC:00,33/70,-77,Unifi
-31.975984,115.818277,20-09-12-16-17-56,A0:CF:5B:3D:82:70,30/70,-80,Unifi
-31.975984,115.818277,20-09-12-16-17-56,A0:CF:5B:3F:8A:C0,28/70,-82,Unifi
-31.975984,115.818277,20-09-12-16-17-56,A0:CF:5B:3D:82:7F,27/70,-83,Unifi
-31.975984,115.818277,20-09-12-16-17-56,64:AE:0C:C4:EC:00,34/70,-76,Unifi
